[2026-05-21T16:47:28.540Z] Extension activated. Workspace: c:\demo-helper
[2026-05-21T16:47:28.579Z] applyHighlights: no active editor
[2026-05-21T16:47:29.185Z] applyHighlights: no active editor
[2026-05-21T16:47:30.451Z] applyHighlights: no active editor
[2026-05-21T16:47:32.216Z] applyHighlights: no active editor
[2026-05-21T16:47:52.468Z] applyHighlights: no active editor
[2026-05-21T16:47:58.654Z] applyHighlights: no active editor
[2026-05-21T16:47:59.303Z] applyHighlights: no active editor
[2026-05-21T16:48:00.284Z] applyHighlights: no active editor
[2026-05-21T16:48:00.787Z] applyHighlights: no active editor
[2026-05-21T16:48:01.438Z] applyHighlights: no active editor
[2026-05-21T16:48:01.987Z] applyHighlights: no active editor
[2026-05-21T16:48:02.525Z] applyHighlights: no active editor
[2026-05-21T16:48:03.230Z] applyHighlights: no active editor
[2026-05-21T16:48:04.206Z] applyHighlights: no active editor
[2026-05-21T16:48:05.072Z] applyHighlights: no active editor
[2026-05-21T16:48:05.642Z] applyHighlights: no active editor
[2026-05-21T16:48:06.183Z] applyHighlights: no active editor
[2026-05-21T16:48:06.729Z] applyHighlights: no active editor
[2026-05-21T16:48:07.227Z] applyHighlights: no active editor
[2026-05-21T16:48:07.729Z] applyHighlights: no active editor
[2026-05-21T16:48:08.305Z] applyHighlights: no active editor
[2026-05-21T16:48:08.804Z] applyHighlights: no active editor
[2026-05-21T16:48:09.304Z] applyHighlights: no active editor
[2026-05-21T16:48:10.007Z] applyHighlights: no active editor
[2026-05-21T16:48:10.507Z] applyHighlights: no active editor
[2026-05-21T16:48:11.010Z] applyHighlights: no active editor
[2026-05-21T16:48:11.509Z] applyHighlights: no active editor
[2026-05-21T16:48:12.014Z] applyHighlights: no active editor
[2026-05-21T16:48:12.513Z] applyHighlights: no active editor
[2026-05-21T16:48:13.014Z] applyHighlights: no active editor
[2026-05-21T16:48:13.515Z] applyHighlights: no active editor
[2026-05-21T16:48:14.016Z] applyHighlights: no active editor
[2026-05-21T16:48:14.521Z] applyHighlights: no active editor
[2026-05-21T16:48:15.025Z] applyHighlights: no active editor
[2026-05-21T16:48:15.535Z] applyHighlights: no active editor
[2026-05-21T16:48:16.050Z] applyHighlights: no active editor
[2026-05-21T16:48:16.563Z] applyHighlights: no active editor
[2026-05-21T16:48:17.075Z] applyHighlights: no active editor
[2026-05-21T16:48:17.579Z] applyHighlights: no active editor
[2026-05-21T16:48:18.081Z] applyHighlights: no active editor
[2026-05-21T16:48:18.582Z] applyHighlights: no active editor
[2026-05-21T16:48:19.250Z] applyHighlights: no active editor
[2026-05-21T16:48:19.760Z] applyHighlights: no active editor
[2026-05-21T16:48:20.262Z] applyHighlights: no active editor
[2026-05-21T16:48:20.777Z] applyHighlights: no active editor
[2026-05-21T16:48:21.293Z] applyHighlights: no active editor
[2026-05-21T16:48:21.793Z] applyHighlights: no active editor
[2026-05-21T16:48:22.302Z] applyHighlights: no active editor
[2026-05-21T16:48:22.806Z] applyHighlights: no active editor
[2026-05-21T16:48:23.321Z] applyHighlights: no active editor
[2026-05-21T16:48:23.838Z] applyHighlights: no active editor
[2026-05-21T16:48:24.348Z] applyHighlights: no active editor
[2026-05-21T16:48:24.849Z] applyHighlights: no active editor
[2026-05-21T16:48:25.366Z] applyHighlights: no active editor
[2026-05-21T16:48:25.876Z] applyHighlights: no active editor
[2026-05-21T16:48:26.375Z] applyHighlights: no active editor
[2026-05-21T16:48:26.874Z] applyHighlights: no active editor
[2026-05-21T16:48:27.374Z] applyHighlights: no active editor
[2026-05-21T16:48:27.882Z] applyHighlights: no active editor
[2026-05-21T16:48:28.381Z] applyHighlights: no active editor
[2026-05-21T16:48:28.896Z] applyHighlights: no active editor
[2026-05-21T16:48:29.407Z] applyHighlights: no active editor
[2026-05-21T16:48:29.920Z] applyHighlights: no active editor
[2026-05-21T16:48:30.434Z] applyHighlights: no active editor
[2026-05-21T16:48:30.934Z] applyHighlights: no active editor
[2026-05-21T16:48:31.440Z] applyHighlights: no active editor
[2026-05-21T16:48:31.965Z] applyHighlights: no active editor
[2026-05-21T16:48:32.475Z] applyHighlights: no active editor
[2026-05-21T16:48:32.981Z] applyHighlights: no active editor
[2026-05-21T16:48:33.489Z] applyHighlights: no active editor
[2026-05-21T16:48:33.996Z] applyHighlights: no active editor
[2026-05-21T16:48:34.503Z] applyHighlights: no active editor
[2026-05-21T16:48:35.010Z] applyHighlights: no active editor
[2026-05-21T16:48:35.516Z] applyHighlights: no active editor
[2026-05-21T16:48:36.027Z] applyHighlights: no active editor
[2026-05-21T16:48:36.531Z] applyHighlights: no active editor
[2026-05-21T16:48:37.071Z] applyHighlights: no active editor
[2026-05-21T16:48:37.572Z] applyHighlights: no active editor
[2026-05-21T16:48:38.074Z] applyHighlights: no active editor
[2026-05-21T16:48:38.577Z] applyHighlights: no active editor
[2026-05-21T16:48:39.086Z] applyHighlights: no active editor
[2026-05-21T16:48:39.601Z] applyHighlights: no active editor
[2026-05-21T16:48:40.117Z] applyHighlights: no active editor
[2026-05-21T16:48:40.632Z] applyHighlights: no active editor
[2026-05-21T16:48:41.141Z] applyHighlights: no active editor
[2026-05-21T16:48:41.656Z] applyHighlights: no active editor
[2026-05-21T16:48:42.157Z] applyHighlights: no active editor
[2026-05-21T16:48:42.670Z] applyHighlights: no active editor
[2026-05-21T16:48:43.208Z] applyHighlights: no active editor
[2026-05-21T16:48:43.695Z] applyHighlights: no active editor
[2026-05-21T16:48:44.196Z] applyHighlights: no active editor
[2026-05-21T16:48:44.695Z] applyHighlights: no active editor
[2026-05-21T16:48:45.195Z] applyHighlights: no active editor
[2026-05-21T16:48:45.698Z] applyHighlights: no active editor
[2026-05-21T16:48:46.216Z] applyHighlights: no active editor
[2026-05-21T16:48:46.722Z] applyHighlights: no active editor
[2026-05-21T16:48:47.237Z] applyHighlights: no active editor
[2026-05-21T16:48:47.741Z] applyHighlights: no active editor
[2026-05-21T16:48:48.253Z] applyHighlights: no active editor
[2026-05-21T16:48:48.755Z] applyHighlights: no active editor
[2026-05-21T16:48:49.257Z] applyHighlights: no active editor
[2026-05-21T16:48:49.771Z] applyHighlights: no active editor
[2026-05-21T16:48:50.287Z] applyHighlights: no active editor
[2026-05-21T16:48:50.787Z] applyHighlights: no active editor
[2026-05-21T16:48:51.304Z] applyHighlights: no active editor
[2026-05-21T16:48:51.805Z] applyHighlights: no active editor
[2026-05-21T16:48:52.310Z] applyHighlights: no active editor
[2026-05-21T16:48:52.812Z] applyHighlights: no active editor
[2026-05-21T16:48:53.325Z] applyHighlights: no active editor
[2026-05-21T16:48:53.826Z] applyHighlights: no active editor
[2026-05-21T16:48:54.332Z] applyHighlights: no active editor
[2026-05-21T16:48:54.853Z] applyHighlights: no active editor
[2026-05-21T16:48:55.361Z] applyHighlights: no active editor
[2026-05-21T16:48:55.878Z] applyHighlights: no active editor
[2026-05-21T16:48:56.376Z] applyHighlights: no active editor
[2026-05-21T16:48:56.889Z] applyHighlights: no active editor
[2026-05-21T16:48:57.405Z] applyHighlights: no active editor
